"LANGUAGE","Українська"
"EYM_NAM","EYM: Підсвітіть Вашу Мишку"
"EYM_DESC","Налаштування підсвітки курсору у ночі"
"EYM_OPT_INT","Яскравість"
"EYM_OPT_RNG","Максимальний діапазон освітлення"
"EYM_OPT_COL","Колір світла"
"EYM_OPT_RED","Червоний"
"EYM_OPT_GRN","Зелений"
"EYM_OPT_BLU","Синій"
"EYM_OPT_DEF","Повернути до стандартних"
