"LANGUAGE","日本語"
"EYM_NAM","EYM: Enlighten Your Mouse"
"EYM_DESC","夜間のマウスカーソルの明るさを調整できます"
"EYM_OPT_INT","ライトの明るさ"
"EYM_OPT_RNG","ライトの最大範囲"
"EYM_OPT_COL","ライトの色"
"EYM_OPT_RED","赤色"
"EYM_OPT_GRN","緑色"
"EYM_OPT_BLU","青色"
"EYM_OPT_DEF","デフォルトに戻す"
