"LANGUAGE","简体中文"
"EYM_NAM","EYM: 增强夜间的鼠标照明"
"EYM_DESC","自定义夜间鼠标光标附近的增强照明"
"EYM_OPT_INT","照明亮度"
"EYM_OPT_RNG","照明最大射程"
"EYM_OPT_COL","光颜色"
"EYM_OPT_RED","红色"
"EYM_OPT_GRN","绿色"
"EYM_OPT_BLU","蓝色"
"EYM_OPT_DEF","恢复为默认值"
