"LANGUAGE","Italiano"
"EYM_NAM","EYM: Illumina il Tuo Mouse"
"EYM_DESC","Personalizzazione dell'illuminazione notturna del cursore del mouse"
"EYM_OPT_INT","Intensità luminosa"
"EYM_OPT_RNG","Portata massima dell'illuminazione"
"EYM_OPT_COL","Colore della luce"
"EYM_OPT_RED","Rosso"
"EYM_OPT_GRN","Verde"
"EYM_OPT_BLU","Blu"
"EYM_OPT_DEF","Ripristino delle impostazioni predefinite"
