"LANGUAGE","Deutsch"
"EYM_NAM","EYM: Enlighten Your Mouse"
"EYM_DESC","Anpassen der Mausbeleuchtung in der Nacht"
"EYM_OPT_INT","Licht-Intensität"
"EYM_OPT_RNG","Maximale Beleuchtungsreichweite"
"EYM_OPT_COL","Licht-Farbe"
"EYM_OPT_RED","Rot"
"EYM_OPT_GRN","Grün"
"EYM_OPT_BLU","Blau"
"EYM_OPT_DEF","Auf Standard zurücksetzen"
