"LANGUAGE","Angol"
"EYM_NAM","EYM: Világosítsd meg az egeret"
"EYM_DESC","Az egérkurzor éjszakai megvilágításának testreszabása"
"EYM_OPT_INT","Fény intenzitása"
"EYM_OPT_RNG","Világítás maximális hatótávolsága"
"EYM_OPT_COL","Fény színe"
"EYM_OPT_RED","Vörös"
"EYM_OPT_GRN","Zöld"
"EYM_OPT_BLU","Kék"
"EYM_OPT_DEF","Visszatérés az alapértelmezett állapotba"
